country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,continent,latitude,longitude
Cambodia,44.4,54.1,5.68,59.5,2520,3.12,66.1,2.88,786,Asia,12.684728629393506,104.87608532525192
Cameroon,108.0,22.2,5.13,27.0,2660,1.91,57.3,5.11,1310,Africa,5.663095287992696,12.611551546501774
Canada,5.6,29.1,11.3,31.0,40700,2.87,81.3,1.63,47400,North America,61.46907614534896,-98.14238137209708
Chad,150.0,36.8,4.53,43.5,1930,6.39,56.5,6.59,897,Africa,15.328867399839682,18.58132952533289
Chile,8.7,37.7,7.96,31.3,19400,8.96,79.1,1.88,12900,South America,-39.04701430994844,-71.5206439451643
China,15.7,26.3,5.07,22.6,9530,6.94,74.6,1.59,4560,Asia,36.555066531858685,103.88361230063248
Colombia,18.6,15.9,7.59,17.8,10900,3.86,76.4,2.01,6250,South America,3.927213862709704,-73.07773208697478
Costa Rica,10.2,33.2,10.9,35.0,13000,6.57,80.4,1.92,8200,North America,9.965671127464528,-84.17542309600948
Croatia,5.5,37.6,7.76,38.1,20100,0.821,76.3,1.55,13500,Europe,45.01623399593114,16.566189771645533
Cyprus,3.6,50.2,5.97,57.5,33900,2.01,79.9,1.42,30800,Asia,34.90706085094344,33.03955380295407
Denmark,4.1,50.5,11.4,43.6,44000,3.22,79.5,1.87,58000,Europe,56.06393446179454,9.876372937675002
Ecuador,25.1,27.9,8.06,32.4,9350,7.47,76.7,2.66,4660,South America,-1.4547717055405804,-78.38416674608374
Egypt,29.1,21.3,4.66,26.6,9860,10.1,70.5,3.19,2600,Africa,26.50661999974957,29.84446151312441
El Salvador,19.2,26.9,6.91,46.6,7300,2.65,74.1,2.27,2990,North America,13.726091625794195,-88.87290317032377
Eritrea,55.2,4.79,2.66,23.3,1420,11.6,61.7,4.61,482,Africa,15.427276751412933,38.67818692786484
Estonia,4.5,75.1,6.03,68.7,22700,1.74,76.0,1.72,14600,Europe,58.643695426630906,25.824725613026608
Fiji,24.1,57.8,4.86,63.9,7350,4.23,65.3,2.67,3650,Oceania,-17.31630942638265,163.85316464458234
Finland,3.0,38.7,8.95,37.4,39800,0.351,80.0,1.87,46200,Europe,64.50409403963651,26.211764610296356
France,4.2,26.8,11.9,28.1,36900,1.05,81.4,2.03,40600,Europe,42.46070432663372,-2.8766966992706267
Gabon,63.7,57.7,3.5,18.9,15400,16.6,62.9,4.08,8750,Africa,-0.6470481398040288,11.687751174902044
Gambia,80.3,23.8,5.69,42.7,1660,4.3,65.5,5.71,562,Africa,13.47533435870166,-15.431872807730835
Georgia,16.5,35.0,10.1,52.8,6730,8.55,72.8,1.92,2960,Asia,42.16201501415301,43.48154265409026
Germany,4.2,42.3,11.6,37.1,40400,0.758,80.1,1.39,41800,Europe,51.13372269040778,10.288485092742851
Ghana,74.7,29.5,5.22,45.9,3060,16.6,62.2,4.27,1310,Africa,7.928651813099648,-1.2369685557063992
Greece,3.9,22.1,10.3,30.7,28700,0.673,80.4,1.48,26900,Europe,39.06671589971396,22.719813447095053
Guatemala,35.4,25.8,6.85,36.3,6710,5.14,71.3,3.38,2830,North America,15.699360612026911,-90.36945836053154
Guinea,109.0,30.3,4.93,43.2,1190,16.1,58.0,5.34,648,Africa,10.44827287727134,-11.060853741185456
Guinea-Bissau,114.0,14.9,8.5,35.2,1390,2.97,55.6,5.05,547,Africa,12.022704382325683,-15.11062375166788
Guyana,37.6,51.4,5.38,79.1,5840,5.73,65.5,2.65,3040,South America,4.790225375174759,-58.97120310856251
Haiti,208.0,15.3,6.91,64.7,1500,5.45,32.1,3.33,662,North America,18.900700691843337,-72.65801330535574
Hungary,6.0,81.8,7.33,76.5,22300,2.33,74.5,1.25,13100,Europe,47.19995117195427,19.35762862774592
Iceland,2.6,53.4,9.4,43.3,38800,5.47,82.0,2.2,41900,Europe,65.07427633529105,-18.761028770831768
India,58.8,22.6,4.05,27.1,4410,8.98,66.2,2.6,1350,Asia,22.92500640740852,79.59370376325381
Indonesia,33.3,24.3,2.61,22.4,8430,15.3,69.9,2.48,3110,Asia,-2.221737936520542,117.42340756227364
Iran,19.3,24.4,5.6,19.4,17400,15.9,74.5,1.76,6530,Asia,32.51891731762539,54.28545149689143
Iraq,36.9,39.4,8.41,34.1,12700,16.6,67.2,4.56,4500,Asia,33.03682096372491,43.75691096461423
Ireland,4.2,103.0,9.19,86.5,45700,-3.22,80.4,2.05,48700,Europe,53.18059120995006,-8.010236544877012
Israel,4.6,35.0,7.63,32.9,29600,1.77,81.4,3.03,30600,Asia,31.4849193900197,35.003851206429005
Italy,4.0,25.2,9.53,27.2,36200,0.319,81.7,1.46,35800,Europe,42.751183052964265,12.140788372235871
Jamaica,18.1,31.3,4.81,49.6,8000,9.81,74.7,2.17,4680,North America,18.13763612786844,-77.32425480164892
Japan,3.2,15.0,9.49,13.6,35800,-1.9,82.8,1.39,44500,Asia,37.66311081170466,138.06496213270776
Jordan,21.1,48.3,8.04,69.0,9470,8.43,75.8,3.66,3680,Asia,31.245490584748417,36.77945490632519
Kazakhstan,21.5,44.2,4.29,29.9,20100,19.5,68.4,2.6,9070,Asia,48.19166075218232,67.2846109811001
Kenya,62.2,20.7,4.75,33.6,2480,2.09,62.8,4.37,967,Africa,0.5959662521769523,37.791555286661385
Kuwait,10.8,66.7,2.63,30.4,75200,11.2,78.2,2.21,38500,Asia,29.307266634033564,47.600098887626416
Latvia,7.8,53.7,6.68,55.1,18300,-0.812,73.1,1.36,11300,Europe,56.80717513427924,24.83329614980344
Lebanon,10.3,35.8,7.03,60.2,16300,0.238,79.8,1.61,8860,Asia,33.91182720781994,35.87098632001643
Lesotho,99.7,39.4,11.1,101.0,2380,4.15,46.5,3.3,1170,Africa,-29.625290493692013,28.170105295170494
Liberia,89.3,19.1,11.8,92.6,700,5.47,60.8,5.02,327,Africa,6.431619862252993,-9.410836154371117
Libya,16.6,65.6,3.88,42.1,29600,14.2,76.1,2.41,12100,Africa,26.997460407020338,17.974352779160352
Lithuania,6.1,65.3,7.04,67.2,21100,2.38,73.2,1.5,12000,Europe,55.28431948476607,23.88064027584349
Luxembourg,2.8,175.0,7.77,142.0,91700,3.62,81.3,1.63,105000,Europe,49.76570507415103,5.965223432343999
Madagascar,62.2,25.0,3.77,43.0,1390,8.79,60.8,4.6,413,Africa,-19.356114077828774,46.69117091471639
Malawi,90.5,22.8,6.59,34.9,1030,12.1,53.1,5.31,459,Africa,-13.17283499234192,34.193605326922366
Malaysia,7.9,86.9,4.39,71.0,21100,7.27,74.5,2.15,9070,Asia,3.725588425773716,109.6981484486297
Mali,137.0,22.8,4.98,35.1,1870,4.37,59.5,6.55,708,Africa,17.267772061700715,-3.543294339453343
Mauritania,97.4,50.7,4.41,61.2,3320,18.9,68.2,4.98,1200,Africa,20.20926720635376,-10.326396925234992
Moldova,17.2,39.2,11.7,78.5,3910,11.1,69.7,1.27,1630,Europe,47.20367642606752,28.41048279080328
Mongolia,26.1,46.7,5.44,56.7,7710,39.2,66.2,2.64,2650,Asia,46.82368112626357,102.94640620846634
Montenegro,6.8,37.0,9.11,62.7,14000,1.6,76.4,1.77,6680,Europe,42.78903960655908,19.2861817215929
Morocco,33.5,32.2,5.2,43.0,6440,0.976,73.5,2.58,2830,Africa,29.885394698302058,-8.420479544549693
Mozambique,101.0,31.5,5.21,46.2,918,7.64,54.5,5.56,419,Africa,-17.230448975659677,35.47261597864435
Myanmar,64.4,0.109,1.97,0.0659,3720,7.04,66.8,2.41,988,Asia,21.016999873773827,96.5058409420616
Namibia,56.0,47.8,6.78,60.7,8460,3.56,58.6,3.6,5190,Africa,-22.099776931731068,17.156168126194093
Nepal,47.0,9.58,5.25,36.4,1990,15.1,68.3,2.61,592,Asia,28.23944001904935,84.01317367692529
Netherlands,4.5,72.0,11.9,63.6,45500,0.848,80.7,1.79,50300,Europe,52.298700374441786,5.512217100965399
New Zealand,6.2,30.3,10.1,28.0,32300,3.73,80.9,2.17,33700,Oceania,-41.66257875715869,172.70192594405574
Niger,123.0,22.2,5.16,49.1,814,2.55,58.8,7.49,348,Africa,17.345552814745542,9.324427099857925
Nigeria,130.0,25.3,5.07,17.4,5150,104.0,60.5,5.84,2330,Africa,9.548318418209965,7.995127754089786
Norway,3.2,39.7,9.48,28.5,62300,5.95,81.0,1.95,87800,Europe,69.15685630975351,15.46811995520676
Oman,11.7,65.7,2.77,41.2,45300,15.6,76.1,2.9,19300,Asia,20.611174374229545,56.09867281997542
Pakistan,92.1,13.5,2.2,19.4,4280,10.9,65.3,3.85,1040,Asia,29.973460025547396,69.41399806318127
Panama,19.7,70.0,8.1,78.2,15400,2.59,77.8,2.62,8080,North America,8.530019388864652,-80.10916483549376
Paraguay,24.1,55.1,5.87,51.5,7290,6.1,74.1,2.73,3230,South America,-23.248041946292087,-58.387387833505706
Peru,20.3,27.8,5.08,23.8,9960,5.71,77.9,2.54,5020,South America,-9.191562905134552,-74.39180581684722
Philippines,31.9,34.8,3.61,36.6,5600,4.22,69.0,3.16,2130,Asia,11.763799362297664,122.90267236988682
Poland,6.0,40.1,7.46,42.1,21800,1.66,76.3,1.41,12600,Europe,52.14826021933187,19.31101430844868
Portugal,3.9,29.9,11.0,37.4,27200,0.643,79.8,1.39,22500,Europe,39.63404977497817,-8.055765588295687
Qatar,9.0,62.3,1.81,23.8,125000,6.98,79.5,2.07,70300,Asia,25.32185097420669,51.1835025789133
Romania,11.5,32.6,5.58,38.8,17800,3.53,73.7,1.59,8230,Europe,45.857101035738005,24.943252494635377
Russia,10.0,29.2,5.08,21.1,23100,14.2,69.2,1.57,10700,Europe,61.98084075071274,96.87522325596434
Rwanda,63.6,12.0,10.5,30.0,1350,2.61,64.6,4.51,563,Africa,-2.013514465834134,29.91896392224289
Saudi Arabia,15.7,49.6,4.29,33.0,45400,17.2,75.1,2.96,19300,Asia,24.123289839105293,44.51636376826477
Senegal,66.8,24.9,5.66,40.3,2180,1.85,64.0,5.06,1000,Africa,14.354139988452022,-14.50980278585943
Serbia,7.6,32.9,10.4,47.9,12700,5.88,74.7,1.4,5410,Europe,44.23303653365162,20.819651926382583
Sierra Leone,160.0,16.8,13.1,34.5,1220,17.2,55.0,5.2,399,Africa,8.53035372615305,-11.795257428559948
Slovenia,3.2,64.3,9.41,62.9,28700,-0.987,79.5,1.57,23400,Europe,46.12542205901039,14.938152320795732
South Africa,53.7,28.6,8.94,27.4,12000,6.35,54.3,2.59,7280,Africa,-28.947033259979115,25.04801387986168
South Korea,4.1,49.4,6.93,46.2,30400,3.16,80.1,1.23,22100,Asia,36.42759860415487,127.8213171283307
Spain,3.8,25.5,9.54,26.8,32500,0.16,81.9,1.37,30700,Europe,40.348656106226734,-3.6170206023873743
Sri Lanka,11.2,19.6,2.94,26.8,8560,22.8,74.4,2.2,2810,Asia,7.700534417248105,80.66723574931648
Sudan,76.7,19.7,6.32,17.2,3370,19.6,66.3,4.88,1480,Africa,15.990585003116715,29.86260401225792
Suriname,24.1,52.5,7.01,38.4,14200,7.2,70.3,2.52,8300,South America,4.120008031758887,-55.91145629952073
Sweden,3.0,46.2,9.63,40.7,42900,0.991,81.5,1.98,52100,Europe,62.811484968080336,16.59626584684802
Switzerland,4.5,64.0,11.5,53.3,55500,0.317,82.2,1.52,74600,Europe,46.79173768366762,8.118300613385486
Tajikistan,52.4,14.9,5.98,58.6,2110,12.5,69.6,3.51,738,Asia,38.58308146421082,71.03443504896113
Tanzania,71.9,18.7,6.01,29.1,2090,9.25,59.3,5.43,702,Africa,-6.257732428506092,34.75298985475595
Thailand,14.9,66.5,3.88,60.8,13500,4.08,76.6,1.55,5080,Asia,15.01697499141648,101.00613354626108
Timor-Leste,62.6,2.2,9.12,27.8,1850,26.5,71.1,6.23,3600,Asia,-8.767760362467003,125.966300273684
Togo,90.3,40.2,7.65,57.3,1210,1.18,58.7,4.87,488,Africa,8.439541954669616,0.9964039436703582
Tunisia,17.4,50.5,6.21,55.3,10400,3.82,76.9,2.14,4140,Africa,34.172939036882376,9.534716120695837
Turkey,19.1,20.4,6.74,25.5,18000,7.01,78.2,2.15,10700,Asia,39.06837194061471,35.116900150938406
Turkmenistan,62.0,76.3,2.5,44.5,9940,2.31,67.9,2.83,4440,Asia,39.09124018017583,59.27543026236141
Uganda,81.0,17.1,9.01,28.6,1540,10.6,56.8,6.15,595,Africa,1.2954855035097297,32.35755031998686
Ukraine,11.7,47.1,7.72,51.1,7820,13.4,70.4,1.44,2970,Europe,48.97301760592337,31.36952890658041
United Arab Emirates,8.6,77.7,3.66,63.6,57600,12.5,76.5,1.87,35000,Asia,23.86863365334761,54.20671476159633
United Kingdom,5.2,28.2,9.64,30.8,36200,1.57,80.3,1.92,38900,Europe,53.91477348053706,-2.8531353951805545
Uruguay,10.6,26.3,8.35,25.4,17100,4.91,76.4,2.08,11900,South America,-32.780904365230825,-56.00327866654848
Uzbekistan,36.3,31.7,5.81,28.5,4240,16.5,68.8,2.34,1380,Asia,41.748602664652246,63.20363952823182
Vanuatu,29.2,46.6,5.25,52.7,2950,2.62,63.0,3.5,2970,Oceania,-15.542677057554924,167.07375126822674
Venezuela,17.1,28.5,4.91,17.6,16500,45.9,75.4,2.47,13500,South America,7.162132267639002,-66.16382727830238
Vietnam,23.3,72.0,6.84,80.2,4490,12.1,73.1,1.95,1310,Asia,16.657937753254938,106.28584079705196
Yemen,56.3,30.0,5.18,34.4,4480,23.6,67.5,4.67,1310,Asia,15.913231950143004,47.535044758543485
Zambia,83.1,37.0,5.89,30.9,3280,14.0,52.0,5.4,1460,Africa,-13.395067553524187,27.727591918760577
